file_id,speech_file,noise_file,noise_type,snr_db,sample_rate,duration,split
mix_000011,datasets/speech\speech_ref_0874.wav,datasets/background_noise\bg_bg_session_25_1020.wav,background_noise,-10,16000,1.0,train
mix_000012,datasets/speech\speech_ref_0789.wav,datasets/other_impulse\other_impulse_0098.wav,other_impulse,-5,16000,1.0,train
mix_000013,datasets/speech\speech_speaker_session_07_0314.wav,datasets/other_impulse\other_impulse_0789.wav,other_impulse,5,16000,1.0,train
mix_000014,datasets/speech\speech_ref_0195.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ERIN-JT9NHIATnzMQ-42_w0.wav,gunshot,20,16000,1.0,train
mix_000015,datasets/speech\speech_speaker_session_08_0324.wav,datasets/gunshot\gun_C3GD-Dataset_15-nj_farm-sig_p365-CAROL-qhIEvS8T0FcO-47_w0.wav,gunshot,5,16000,1.0,train
mix_000016,datasets/speech\speech_ref_0194.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-ALICE-jmHo21ZrVDXJ-11_w0.wav,gunshot,15,16000,1.0,train
mix_000017,datasets/speech\speech_speaker_session_20_0827.wav,datasets/other_impulse\other_impulse_0334.wav,other_impulse,5,16000,1.0,train
mix_000018,datasets/speech\speech_ref_0135.wav,datasets/other_impulse\other_impulse_0550.wav,other_impulse,5,16000,1.0,train
mix_000019,datasets/speech\speech_ref_0746.wav,datasets/other_impulse\other_imp_other_imp_session_23_0939.wav,other_impulse,0,16000,1.0,train
mix_000020,datasets/speech\speech_ref_0246.wav,datasets/other_impulse\other_imp_other_imp_session_09_0395.wav,other_impulse,15,16000,1.0,train
mix_000021,datasets/speech\speech_speaker_session_28_1133.wav,datasets/gunshot\gun_C3GD-Dataset_1-ny_gravel_pit-savage_223-ALICE-IaO6gvZyLJyE-30_w0.wav,gunshot,-5,16000,1.0,train
mix_000022,datasets/speech\speech_ref_0126.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-ALICE-VIwh9tsGnOqt-28_w0.wav,gunshot,20,16000,1.0,train
mix_000023,datasets/speech\speech_ref_0560.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-CAROL-28cChRmnkvnG-0_w0.wav,gunshot,-5,16000,1.0,train
mix_000024,datasets/speech\speech_ref_0844.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-BUTCH-hBTAkYuwJ46l-52_w0.wav,gunshot,0,16000,1.0,train
mix_000025,datasets/speech\speech_ref_0334.wav,datasets/gunshot\gun_C3GD-Dataset_1-ny_gravel_pit-savage_223-CAROL-CWUeRPWgyLlF-13_w0.wav,gunshot,15,16000,1.0,train
mix_000026,datasets/speech\speech_speaker_session_27_1083.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-JON-U8Ee7IPiAWho-6_w0.wav,gunshot,15,16000,1.0,train
mix_000027,datasets/speech\speech_speaker_session_01_0044.wav,datasets/gunshot\gun_C3GD-Dataset_14-oh_farm-7mm_Mauser-ALICE-chv3xlV0eY8m-19_w0.wav,gunshot,20,16000,1.0,train
mix_000028,datasets/speech\speech_ref_1066.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-PIXEL-IwgLphM2NQaw-15_w0.wav,gunshot,0,16000,1.0,train
mix_000029,datasets/speech\speech_speaker_session_15_0634.wav,datasets/background_noise\bg_noise_0796.wav,background_noise,20,16000,1.0,train
mix_000030,datasets/speech\speech_ref_0200.wav,datasets/gunshot\gun_C3GD-Dataset_15-nj_farm-sig_p365-DAVE-g19XyDQPiD9P-4_w0.wav,gunshot,10,16000,1.0,train
mix_000031,datasets/speech\speech_ref_0412.wav,datasets/gunshot\gun_C3GD-Dataset_13-oh_farm-lmt_ar10-ERIN-4yw5CT7ttEZV-37_w0.wav,gunshot,-10,16000,1.0,train
mix_000032,datasets/speech\speech_ref_0178.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-BOB-8c1Tg89yVR7j-54_w0.wav,gunshot,-20,16000,1.0,train
mix_000033,datasets/speech\speech_speaker_session_10_0429.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-BOB-8c1Tg89yVR7j-12_w0.wav,gunshot,-15,16000,1.0,train
mix_000034,datasets/speech\speech_speaker_session_05_0220.wav,datasets/gunshot\gun_C3GD-Dataset_13-oh_farm-lmt_ar10-PIXEL-R4Eu8tFn3QLJ-19_w0.wav,gunshot,15,16000,1.0,train
mix_000035,datasets/speech\speech_ref_0956.wav,datasets/other_impulse\other_imp_other_imp_session_28_1147.wav,other_impulse,0,16000,1.0,train
mix_000036,datasets/speech\speech_speaker_session_09_0396.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ERIN-JT9NHIATnzMQ-53_w0.wav,gunshot,-5,16000,1.0,train
mix_000037,datasets/speech\speech_ref_0306.wav,datasets/gunshot\gun_C3GD-Dataset_1-ny_gravel_pit-savage_223-BUTCH-vmXVMZ4vutTc-17_w0.wav,gunshot,20,16000,1.0,train
mix_000038,datasets/speech\speech_speaker_session_11_0444.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-ERIN-8XJ3dMdwafQw-50_w0.wav,gunshot,20,16000,1.0,train
mix_000039,datasets/speech\speech_ref_0800.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-ERIN-8XJ3dMdwafQw-58_w0.wav,gunshot,-10,16000,1.0,train
mix_000040,datasets/speech\speech_ref_1121.wav,datasets/background_noise\bg_noise_0589.wav,background_noise,-5,16000,1.0,train
mix_000041,datasets/speech\speech_ref_0817.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-hk_MR556-ERIN-pUYD91DvHy1e-0_w0.wav,gunshot,-20,16000,1.0,train
mix_000042,datasets/speech\speech_ref_0099.wav,datasets/other_impulse\other_impulse_0300.wav,other_impulse,-5,16000,1.0,train
mix_000043,datasets/speech\speech_ref_0091.wav,datasets/other_impulse\other_imp_other_imp_session_21_0852.wav,other_impulse,-5,16000,1.0,train
mix_000044,datasets/speech\speech_ref_0400.wav,datasets/background_noise\bg_bg_session_21_0860.wav,background_noise,-15,16000,1.0,train
mix_000045,datasets/speech\speech_ref_0193.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-ALICE-XMhGLZYcF3A0-0_w0.wav,gunshot,5,16000,1.0,train
mix_000046,datasets/speech\speech_speaker_session_23_0941.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-DAVE-i1jOY9VPtkkU-21_w0.wav,gunshot,-15,16000,1.0,train
mix_000047,datasets/speech\speech_ref_0947.wav,datasets/background_noise\bg_noise_1052.wav,background_noise,-20,16000,1.0,train
mix_000048,datasets/speech\speech_ref_0568.wav,datasets/other_impulse\other_impulse_0616.wav,other_impulse,-10,16000,1.0,train
mix_000049,datasets/speech\speech_speaker_session_20_0815.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-hk_P30L-ERIN-dOdR2LeA0Roj-7_w0.wav,gunshot,15,16000,1.0,train
mix_000050,datasets/speech\speech_speaker_session_19_0791.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ERIN-JT9NHIATnzMQ-29_w0.wav,gunshot,-5,16000,1.0,train
mix_000051,datasets/speech\speech_speaker_session_23_0946.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-ALICE-X1fRvwEQOSNS-83_w0.wav,gunshot,5,16000,1.0,train
mix_000052,datasets/speech\speech_ref_0374.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-ALICE-X1fRvwEQOSNS-56_w0.wav,gunshot,-20,16000,1.0,train
mix_000053,datasets/speech\speech_ref_1026.wav,datasets/background_noise\bg_noise_0265.wav,background_noise,-5,16000,1.0,train
mix_000054,datasets/speech\speech_ref_0580.wav,datasets/other_impulse\other_impulse_0367.wav,other_impulse,-20,16000,1.0,train
mix_000055,datasets/speech\speech_speaker_session_07_0285.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-ALICE-jmHo21ZrVDXJ-3_w0.wav,gunshot,10,16000,1.0,train
mix_000056,datasets/speech\speech_ref_0264.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-ALICE-N0u4QR95sPzr-13_w0.wav,gunshot,-20,16000,1.0,train
mix_000057,datasets/speech\speech_ref_0426.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-hk_P2000-PIXEL-1uF10Kzhvwk9-2_w0.wav,gunshot,15,16000,1.0,train
mix_000058,datasets/speech\speech_ref_0609.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-ERIN-ILuAgA20Xl4i-20_w0.wav,gunshot,0,16000,1.0,train
mix_000059,datasets/speech\speech_speaker_session_00_0010.wav,datasets/background_noise\bg_bg_session_15_0613.wav,background_noise,-20,16000,1.0,train
mix_000060,datasets/speech\speech_ref_1192.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-BUTCH-hBTAkYuwJ46l-8_w0.wav,gunshot,-15,16000,1.0,train
mix_000061,datasets/speech\speech_speaker_session_16_0671.wav,datasets/gunshot\gun_C3GD-Dataset_13-oh_farm-lmt_ar10-ALICE-RHHeuXPO7N5v-32_w0.wav,gunshot,0,16000,1.0,train
mix_000062,datasets/speech\speech_ref_0422.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ALICE-EmUfikHTAf0o-67_w0.wav,gunshot,20,16000,1.0,train
mix_000063,datasets/speech\speech_speaker_session_28_1156.wav,datasets/other_impulse\other_impulse_0190.wav,other_impulse,15,16000,1.0,train
mix_000064,datasets/speech\speech_ref_1197.wav,datasets/background_noise\bg_noise_0998.wav,background_noise,20,16000,1.0,train
mix_000065,datasets/speech\speech_ref_0981.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-BOB-Nyl3u1Ql1lFU-52_w0.wav,gunshot,0,16000,1.0,train
mix_000066,datasets/speech\speech_speaker_session_20_0820.wav,datasets/gunshot\gun_C3GD-Dataset_1-ny_gravel_pit-savage_223-ALICE-IaO6gvZyLJyE-39_w0.wav,gunshot,-15,16000,1.0,train
mix_000067,datasets/speech\speech_speaker_session_27_1088.wav,datasets/gunshot\gun_C3GD-Dataset_12-oh_farm-norinco_sks-PIXEL-E0i5i0DtkTlq-3_w0.wav,gunshot,-10,16000,1.0,train
mix_000068,datasets/speech\speech_speaker_session_04_0197.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ALICE-QBdIBdZ0p0dz-66_w0.wav,gunshot,0,16000,1.0,train
mix_000069,datasets/speech\speech_ref_0152.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-ERIN-ILuAgA20Xl4i-19_w0.wav,gunshot,-20,16000,1.0,train
mix_000070,datasets/speech\speech_ref_1160.wav,datasets/gunshot\gun_C3GD-Dataset_13-oh_farm-lmt_ar10-BOB-0T2m14m6BxyX-27_w0.wav,gunshot,0,16000,1.0,train
mix_000071,datasets/speech\speech_speaker_session_03_0124.wav,datasets/other_impulse\other_impulse_0902.wav,other_impulse,-5,16000,1.0,train
mix_000072,datasets/speech\speech_speaker_session_03_0147.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-ALICE-jmHo21ZrVDXJ-9_w0.wav,gunshot,10,16000,1.0,train
mix_000073,datasets/speech\speech_speaker_session_02_0093.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-PIXEL-DcPIW81s52vj-15_w0.wav,gunshot,20,16000,1.0,train
mix_000074,datasets/speech\speech_speaker_session_22_0915.wav,datasets/gunshot\gun_C3GD-Dataset_12-oh_farm-norinco_sks-ERIN-KvP1tQktbMsn-20_w0.wav,gunshot,-15,16000,1.0,train
mix_000075,datasets/speech\speech_ref_1099.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-hk_P30L-ALICE-Ra4ytZz6kt6l-7_w0.wav,gunshot,-15,16000,1.0,train
mix_000076,datasets/speech\speech_speaker_session_12_0508.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-sw_mp22-DAVE-PorbzdaQTbqS-35_w0.wav,gunshot,-10,16000,1.0,train
mix_000077,datasets/speech\speech_ref_0137.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ERIN-JT9NHIATnzMQ-29_w0.wav,gunshot,5,16000,1.0,train
mix_000078,datasets/speech\speech_ref_0555.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-ALICE-0D30t3lA0dYO-57_w0.wav,gunshot,-20,16000,1.0,train
mix_000079,datasets/speech\speech_speaker_session_12_0516.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-BOB-Mjt4Wualmk2E-36_w0.wav,gunshot,10,16000,1.0,train
mix_000080,datasets/speech\speech_ref_1050.wav,datasets/gunshot\gun_C3GD-Dataset_10-ny_gravel_pit-sw_mp15-JON-Qoar7WPiWXH6-24_w0.wav,gunshot,15,16000,1.0,train
mix_000081,datasets/speech\speech_ref_0001.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-DAVE-LJiS5z5Ad53b-59_w0.wav,gunshot,5,16000,1.0,train
mix_000082,datasets/speech\speech_speaker_session_10_0414.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-CAROL-28cChRmnkvnG-6_w0.wav,gunshot,-20,16000,1.0,train
mix_000083,datasets/speech\speech_speaker_session_27_1116.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-BOB-Mjt4Wualmk2E-48_w0.wav,gunshot,5,16000,1.0,train
mix_000084,datasets/speech\speech_speaker_session_08_0328.wav,datasets/gunshot\gun_C3GD-Dataset_10-ny_gravel_pit-sw_mp15-JON-Qoar7WPiWXH6-9_w0.wav,gunshot,-20,16000,1.0,train
mix_000085,datasets/speech\speech_speaker_session_07_0311.wav,datasets/background_noise\bg_noise_0736.wav,background_noise,15,16000,1.0,train
mix_000086,datasets/speech\speech_speaker_session_06_0252.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-DAVE-3fPPqTzCQ1WZ-22_w0.wav,gunshot,-10,16000,1.0,train
mix_000087,datasets/speech\speech_ref_1153.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-hk_P30L-DAVE-0CvE5CZTyzuQ-8_w0.wav,gunshot,20,16000,1.0,train
mix_000088,datasets/speech\speech_ref_0939.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-ERIN-TZeme1kqdhzL-30_w0.wav,gunshot,-15,16000,1.0,train
mix_000089,datasets/speech\speech_ref_0737.wav,datasets/other_impulse\other_imp_other_imp_session_21_0864.wav,other_impulse,0,16000,1.0,train
mix_000090,datasets/speech\speech_speaker_session_04_0164.wav,datasets/gunshot\gun_C3GD-Dataset_15-nj_farm-sig_p365-BOB-uY5xiJ1efHpq-35_w0.wav,gunshot,-5,16000,1.0,train
mix_000091,datasets/speech\speech_ref_0045.wav,datasets/gunshot\gun_C3GD-Dataset_10-ny_gravel_pit-sw_mp15-ALICE-o9gnNLXOh817-26_w0.wav,gunshot,-10,16000,1.0,train
mix_000092,datasets/speech\speech_speaker_session_12_0515.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ERIN-JT9NHIATnzMQ-3_w0.wav,gunshot,-10,16000,1.0,train
mix_000093,datasets/speech\speech_speaker_session_25_1011.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ALICE-EmUfikHTAf0o-8_w0.wav,gunshot,5,16000,1.0,train
mix_000094,datasets/speech\speech_speaker_session_15_0617.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-BOB-0xPxL0niRcMJ-6_w0.wav,gunshot,20,16000,1.0,train
mix_000095,datasets/speech\speech_speaker_session_28_1143.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-DAVE-Fka7YM6eegMO-12_w0.wav,gunshot,20,16000,1.0,train
mix_000096,datasets/speech\speech_ref_0631.wav,datasets/gunshot\gun_C3GD-Dataset_10-ny_gravel_pit-sw_mp15-ALICE-o9gnNLXOh817-15_w0.wav,gunshot,-5,16000,1.0,train
mix_000097,datasets/speech\speech_speaker_session_02_0119.wav,datasets/other_impulse\other_imp_other_imp_session_04_0161.wav,other_impulse,-15,16000,1.0,train
mix_000098,datasets/speech\speech_ref_0723.wav,datasets/other_impulse\other_impulse_0209.wav,other_impulse,15,16000,1.0,train
mix_000099,datasets/speech\speech_speaker_session_03_0144.wav,datasets/other_impulse\other_impulse_0253.wav,other_impulse,5,16000,1.0,train
mix_000100,datasets/speech\speech_ref_0138.wav,datasets/background_noise\bg_noise_0079.wav,background_noise,-15,16000,1.0,train
mix_000101,datasets/speech\speech_speaker_session_18_0754.wav,datasets/background_noise\bg_bg_session_25_1011.wav,background_noise,20,16000,1.0,train
mix_000102,datasets/speech\speech_ref_0563.wav,datasets/gunshot\gun_C3GD-Dataset_3-ny_gravel_pit-ruger_lcp_380ACP-CAROL-JL5HJFTpJ6Ky-42_w0.wav,gunshot,-5,16000,1.0,train
mix_000103,datasets/speech\speech_speaker_session_06_0247.wav,datasets/other_impulse\other_impulse_0983.wav,other_impulse,20,16000,1.0,train
mix_000104,datasets/speech\speech_ref_1021.wav,datasets/gunshot\gun_BoltAction22_Zoom_ZM_124A_S04_w0.wav,gunshot,-10,16000,1.0,train
mix_000105,datasets/speech\speech_speaker_session_28_1144.wav,datasets/gunshot\gun_C3GD-Dataset_12-oh_farm-norinco_sks-ERIN-KvP1tQktbMsn-23_w0.wav,gunshot,20,16000,1.0,train
mix_000106,datasets/speech\speech_ref_0576.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-steyr_C9A2-DAVE-hFhPaaylRpTD-6_w0.wav,gunshot,-15,16000,1.0,train
mix_000107,datasets/speech\speech_ref_0918.wav,datasets/gunshot\gun_C3GD-Dataset_1-ny_gravel_pit-savage_223-CAROL-cF2UUwwEe48n-26_w0.wav,gunshot,15,16000,1.0,train
mix_000108,datasets/speech\speech_speaker_session_18_0753.wav,datasets/background_noise\bg_noise_0289.wav,background_noise,20,16000,1.0,train
mix_000109,datasets/speech\speech_speaker_session_20_0816.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-steyr_C9A2-ERIN-RzrE6iFwG1kI-3_w0.wav,gunshot,-20,16000,1.0,train
mix_000110,datasets/speech\speech_ref_0352.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ALICE-EmUfikHTAf0o-53_w0.wav,gunshot,-10,16000,1.0,train
mix_000111,datasets/speech\speech_speaker_session_00_0003.wav,datasets/other_impulse\other_impulse_0009.wav,other_impulse,10,16000,1.0,train
mix_000112,datasets/speech\speech_ref_0206.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-ALICE-QBdIBdZ0p0dz-35_w0.wav,gunshot,-20,16000,1.0,train
mix_000113,datasets/speech\speech_speaker_session_14_0577.wav,datasets/other_impulse\other_impulse_0755.wav,other_impulse,15,16000,1.0,train
mix_000114,datasets/speech\speech_speaker_session_26_1047.wav,datasets/gunshot\gun_C3GD-Dataset_11-nj_farm-savage_mh110-DAVE-3fPPqTzCQ1WZ-43_w0.wav,gunshot,-20,16000,1.0,train
mix_000115,datasets/speech\speech_ref_0299.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-hk_P2000-ERIN-dcv7OmXZZ1UL-1_w0.wav,gunshot,0,16000,1.0,train
mix_000116,datasets/speech\speech_speaker_session_04_0163.wav,datasets/background_noise\bg_bg_session_01_0049.wav,background_noise,-5,16000,1.0,train
mix_000117,datasets/speech\speech_speaker_session_08_0348.wav,datasets/other_impulse\other_impulse_1075.wav,other_impulse,-15,16000,1.0,train
mix_000118,datasets/speech\speech_ref_0869.wav,datasets/background_noise\bg_bg_session_18_0742.wav,background_noise,10,16000,1.0,train
mix_000119,datasets/speech\speech_speaker_session_18_0740.wav,datasets/gunshot\gun_C3GD-Dataset_13-oh_farm-lmt_ar10-ERIN-4yw5CT7ttEZV-28_w0.wav,gunshot,-15,16000,1.0,train
mix_000120,datasets/speech\speech_ref_0215.wav,datasets/other_impulse\other_impulse_0466.wav,other_impulse,-20,16000,1.0,train
mix_000121,datasets/speech\speech_ref_0049.wav,datasets/background_noise\bg_bg_session_28_1130.wav,background_noise,15,16000,1.0,train
mix_000122,datasets/speech\speech_ref_0936.wav,datasets/background_noise\bg_bg_session_12_0519.wav,background_noise,0,16000,1.0,train
mix_000123,datasets/speech\speech_speaker_session_22_0898.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-hk_P30L-PIXEL-Z8wRT1n7qwOp-1_w0.wav,gunshot,-10,16000,1.0,train
mix_000124,datasets/speech\speech_ref_0926.wav,datasets/background_noise\bg_noise_1018.wav,background_noise,10,16000,1.0,train
mix_000125,datasets/speech\speech_speaker_session_13_0555.wav,datasets/gunshot\gun_C3GD-Dataset_15-nj_farm-sig_p365-CAROL-qhIEvS8T0FcO-12_w0.wav,gunshot,10,16000,1.0,train
mix_000126,datasets/speech\speech_speaker_session_25_1003.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-steyr_C9A2-PIXEL-QWxYdgBh6RFJ-7_w0.wav,gunshot,10,16000,1.0,train
mix_000127,datasets/speech\speech_ref_0595.wav,datasets/gunshot\gun_C3GD-Dataset_15-nj_farm-sig_p365-CAROL-qhIEvS8T0FcO-2_w0.wav,gunshot,-15,16000,1.0,train
mix_000128,datasets/speech\speech_speaker_session_27_1115.wav,datasets/other_impulse\other_impulse_0435.wav,other_impulse,-10,16000,1.0,train
mix_000129,datasets/speech\speech_ref_0993.wav,datasets/other_impulse\other_imp_other_imp_session_27_1107.wav,other_impulse,5,16000,1.0,train
mix_000130,datasets/speech\speech_ref_0211.wav,datasets/background_noise\bg_noise_0743.wav,background_noise,-10,16000,1.0,train
mix_000131,datasets/speech\speech_speaker_session_28_1150.wav,datasets/other_impulse\other_impulse_0402.wav,other_impulse,10,16000,1.0,train
mix_000132,datasets/speech\speech_ref_0915.wav,datasets/other_impulse\other_impulse_0264.wav,other_impulse,-10,16000,1.0,train
mix_000133,datasets/speech\speech_speaker_session_07_0317.wav,datasets/gunshot\gun_C3GD-Dataset_10-ny_gravel_pit-sw_mp15-BOB-CYijh1jcEQ6Y-24_w0.wav,gunshot,-20,16000,1.0,train
mix_000134,datasets/speech\speech_ref_0527.wav,datasets/background_noise\bg_bg_session_09_0372.wav,background_noise,0,16000,1.0,train
mix_000135,datasets/speech\speech_speaker_session_19_0783.wav,datasets/gunshot\gun_C3GD-Dataset_2-oh_farm-custom_ar15_300BLK-BOB-JLX6vf3udb1F-45_w0.wav,gunshot,20,16000,1.0,train
mix_000136,datasets/speech\speech_speaker_session_00_0004.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-ERIN-dcO32rh9DuOV-5_w0.wav,gunshot,20,16000,1.0,train
mix_000137,datasets/speech\speech_ref_0484.wav,datasets/gunshot\gun_C3GD-Dataset_15-nj_farm-sig_p365-DAVE-g19XyDQPiD9P-40_w0.wav,gunshot,-5,16000,1.0,train
mix_000138,datasets/speech\speech_ref_1161.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-ALICE-0D30t3lA0dYO-49_w0.wav,gunshot,15,16000,1.0,train
mix_000139,datasets/speech\speech_ref_1172.wav,datasets/gunshot\gun_C3GD-Dataset_13-oh_farm-lmt_ar10-PIXEL-R4Eu8tFn3QLJ-16_w0.wav,gunshot,-10,16000,1.0,train
mix_000140,datasets/speech\speech_speaker_session_24_0979.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-spike_m4_556-PIXEL-IwgLphM2NQaw-48_w0.wav,gunshot,-5,16000,1.0,train
mix_000141,datasets/speech\speech_ref_0267.wav,datasets/background_noise\bg_noise_0648.wav,background_noise,-20,16000,1.0,train
mix_000142,datasets/speech\speech_ref_0036.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-BOB-povgSzBk1SfQ-14_w0.wav,gunshot,-20,16000,1.0,train
mix_000143,datasets/speech\speech_ref_0925.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-hk_MR556-BOB-6Quc5LjO0EL0-1_w0.wav,gunshot,-5,16000,1.0,train
mix_000144,datasets/speech\speech_speaker_session_08_0341.wav,datasets/background_noise\bg_bg_session_27_1102.wav,background_noise,-15,16000,1.0,train
mix_000145,datasets/speech\speech_ref_0118.wav,datasets/other_impulse\other_imp_other_imp_session_03_0131.wav,other_impulse,-20,16000,1.0,train
mix_000146,datasets/speech\speech_ref_1063.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-steyr_C9A2-PIXEL-kLXRqvEsl3mI-4_w0.wav,gunshot,-20,16000,1.0,train
mix_000147,datasets/speech\speech_speaker_session_09_0395.wav,datasets/gunshot\gun_C3GD-Dataset_10-oh_farm-hk_MR556-PIXEL-qvFs07XmzXK0-7_w0.wav,gunshot,-20,16000,1.0,train
