sample_id,source_group,category,class_label,filepath,duration,sample_rate,channels,peak_amplitude,rms_energy,crest_factor,label_idx
bg_bg_session_01_0057,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0057.wav,1.0,16000,1,0.2417502584092778,0.0450118606698752,5.370811184061097,2
bg_bg_session_01_0058,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0058.wav,1.0,16000,1,0.2249799886819188,0.0566421484083025,3.9719529587866393,2
bg_bg_session_01_0059,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0059.wav,1.0,16000,1,0.3475058695700949,0.0673267034190093,5.161485715296752,2
bg_bg_session_01_0060,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0060.wav,1.0,16000,1,0.3565974329726326,0.0602438967910091,5.919228216883362,2
bg_bg_session_01_0061,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0061.wav,1.0,16000,1,0.2689636209972848,0.055048203009887,4.885964617034476,2
bg_bg_session_01_0062,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0062.wav,1.0,16000,1,0.3302930364411184,0.0674600499771456,4.8961272277702745,2
bg_bg_session_01_0063,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0063.wav,1.0,16000,1,0.3262928911076675,0.0653653228308388,4.991834003998604,2
bg_bg_session_01_0064,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0064.wav,1.0,16000,1,0.3050473453897941,0.0504505245441274,6.0464640889578485,2
bg_bg_session_01_0065,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0065.wav,1.0,16000,1,0.3154590236506235,0.0662312408814814,4.762993593690787,2
bg_bg_session_01_0066,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0066.wav,1.0,16000,1,0.2746931585881551,0.0530687353086961,5.176175863783659,2
bg_bg_session_01_0067,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0067.wav,1.0,16000,1,0.2149857903127871,0.0412347996776481,5.213696679903016,2
bg_bg_session_01_0068,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0068.wav,1.0,16000,1,0.332753368869625,0.0494962451792234,6.722798879728204,2
bg_bg_session_01_0069,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0069.wav,1.0,16000,1,0.3929750460763325,0.0771884978415679,5.091108211120329,2
bg_bg_session_01_0070,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0070.wav,1.0,16000,1,0.2078764579509504,0.0427626548900629,4.861167059755816,2
bg_bg_session_01_0071,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0071.wav,1.0,16000,1,0.3632959126498176,0.0650673065185889,5.583385516536992,2
bg_bg_session_01_0072,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0072.wav,1.0,16000,1,0.2993363843176381,0.0589792695560863,5.075280447143885,2
bg_bg_session_01_0073,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0073.wav,1.0,16000,1,0.3469527296147701,0.0652698994070315,5.31566127127783,2
bg_bg_session_01_0074,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0074.wav,1.0,16000,1,0.2839917011728869,0.0455339083978194,6.236926475154556,2
bg_bg_session_01_0075,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0075.wav,1.0,16000,1,0.2478933765733706,0.0436119415374492,5.684069798172334,2
bg_bg_session_01_0076,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0076.wav,1.0,16000,1,0.2449939985798326,0.0491226186191902,4.987395940862237,2
bg_bg_session_01_0077,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0077.wav,1.0,16000,1,0.3497532987759635,0.0634830123337538,5.509398984458881,2
bg_bg_session_01_0078,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0078.wav,1.0,16000,1,0.3211363328616755,0.0627581305647791,5.117046648796066,2
bg_bg_session_01_0079,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0079.wav,1.0,16000,1,0.3942515214984573,0.0651635680696501,6.050182221072351,2
bg_bg_session_02_0080,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0080.wav,1.0,16000,1,0.3299081551054288,0.1226028906394311,2.690867454071677,2
bg_bg_session_02_0081,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0081.wav,1.0,16000,1,0.3400840358578855,0.1228138213620871,2.76910207984009,2
bg_bg_session_02_0082,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0082.wav,1.0,16000,1,0.3364150574683432,0.1234713047030362,2.7246414138981425,2
bg_bg_session_02_0083,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0083.wav,1.0,16000,1,0.3404839058124591,0.1237480282906279,2.7514287136642688,2
bg_bg_session_02_0084,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0084.wav,1.0,16000,1,0.3531215736235553,0.1233394163863277,2.863006452758233,2
bg_bg_session_02_0085,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0085.wav,1.0,16000,1,0.3547456488805453,0.1233945263940235,2.8748894339030646,2
bg_bg_session_02_0086,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0086.wav,1.0,16000,1,0.3643018564278537,0.1231976539287795,2.957051658369564,2
bg_bg_session_02_0087,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0087.wav,1.0,16000,1,0.3637337124112225,0.1239630798628794,2.934209794331225,2
bg_bg_session_02_0088,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0088.wav,1.0,16000,1,0.3258240270144907,0.1238532747566653,2.630725762781644,2
bg_bg_session_02_0089,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0089.wav,1.0,16000,1,0.3463787621611016,0.1237385563023021,2.799278935516949,2
bg_bg_session_02_0090,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0090.wav,1.0,16000,1,0.3693064685864919,0.1229712952812394,3.0031922304303103,2
bg_bg_session_02_0091,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0091.wav,1.0,16000,1,0.3623556134448558,0.1234072680279643,2.9362580492436217,2
bg_bg_session_02_0092,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0092.wav,1.0,16000,1,0.3386892498650569,0.1245176199170905,2.7200104121044664,2
bg_bg_session_02_0093,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0093.wav,1.0,16000,1,0.3677180144895694,0.1235827519392691,2.9754798219372445,2
bg_bg_session_02_0094,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0094.wav,1.0,16000,1,0.3316639371481502,0.1231913702377388,2.692265777914771,2
bg_bg_session_02_0095,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0095.wav,1.0,16000,1,0.3405120674672759,0.1222840413134357,2.7845991673475323,2
bg_bg_session_02_0096,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0096.wav,1.0,16000,1,0.403210432845786,0.1241003494433924,3.249067405237516,2
bg_bg_session_02_0097,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0097.wav,1.0,16000,1,0.3319323186760202,0.1240004030208763,2.67686462157297,2
bg_bg_session_02_0098,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0098.wav,1.0,16000,1,0.3316468462256259,0.1230305957328547,2.6956450734360744,2
bg_bg_session_02_0099,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0099.wav,1.0,16000,1,0.3592105912836003,0.1220475671420474,2.943201329310505,2
bg_bg_session_02_0100,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0100.wav,1.0,16000,1,0.3362846719011519,0.12217634749903,2.752452919574245,2
bg_bg_session_02_0101,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0101.wav,1.0,16000,1,0.3498811268748122,0.1249049891026866,2.801177930333828,2
bg_bg_session_02_0102,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0102.wav,1.0,16000,1,0.347780096381924,0.1234479806473127,2.817219580151138,2
bg_bg_session_02_0103,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0103.wav,1.0,16000,1,0.3499128217760815,0.12386246310045,2.8250107802409947,2
bg_bg_session_02_0104,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0104.wav,1.0,16000,1,0.3435246041111928,0.1232097123101896,2.788129034544401,2
bg_bg_session_02_0105,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0105.wav,1.0,16000,1,0.3471169215311015,0.1239709595578783,2.799985535073539,2
bg_bg_session_02_0106,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0106.wav,1.0,16000,1,0.3398971909251037,0.1234470805620452,2.7533835700588614,2
bg_bg_session_02_0107,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0107.wav,1.0,16000,1,0.3280294052099785,0.122704251651628,2.673333434345524,2
bg_bg_session_02_0108,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0108.wav,1.0,16000,1,0.3727208816212929,0.1234303049531497,3.0196867095637403,2
bg_bg_session_02_0109,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0109.wav,1.0,16000,1,0.3506581684987698,0.1244494008553412,2.817676404321201,2
bg_bg_session_02_0110,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0110.wav,1.0,16000,1,0.3706147023096464,0.1225602855540908,3.0239377331305395,2
bg_bg_session_02_0111,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0111.wav,1.0,16000,1,0.3540421173715505,0.1233491050494129,2.8702444863890872,2
bg_bg_session_02_0112,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0112.wav,1.0,16000,1,0.3743008645687958,0.1233567456893924,3.03429562877992,2
bg_bg_session_02_0113,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0113.wav,1.0,16000,1,0.3643531276653227,0.123389535747622,2.952868700972136,2
bg_bg_session_02_0114,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0114.wav,1.0,16000,1,0.3479441922018578,0.1226751568596418,2.8363050249604016,2
bg_bg_session_02_0115,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0115.wav,1.0,16000,1,0.3514483266703834,0.1224960714447182,2.869057708013216,2
bg_bg_session_02_0116,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0116.wav,1.0,16000,1,0.3282337905088736,0.1245164808952243,2.636066822546976,2
bg_bg_session_02_0117,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0117.wav,1.0,16000,1,0.3301455825783806,0.1234037434893322,2.6753285312907478,2
bg_bg_session_02_0118,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0118.wav,1.0,16000,1,0.3495141594494059,0.1246540152681414,2.803873831571592,2
bg_bg_session_02_0119,bg_session_02,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_02_0119.wav,1.0,16000,1,0.3282484249606558,0.1233768147592767,2.660535522786461,2
bg_bg_session_05_0200,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0200.wav,1.0,16000,1,0.4833019038596485,0.1640406268045132,2.946232794960421,2
bg_bg_session_05_0201,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0201.wav,1.0,16000,1,0.3551958414541766,0.1622147289434164,2.189664415007785,2
bg_bg_session_05_0202,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0202.wav,1.0,16000,1,0.3958682063933484,0.1609215407881767,2.460007403945761,2
bg_bg_session_05_0203,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0203.wav,1.0,16000,1,0.3674300958295503,0.1651695530876341,2.224562982191838,2
bg_bg_session_05_0204,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0204.wav,1.0,16000,1,0.3936998906426142,0.1648101757897651,2.3888080021026434,2
bg_bg_session_05_0205,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0205.wav,1.0,16000,1,0.3673762764469629,0.1638275154157372,2.242457581622439,2
bg_bg_session_05_0206,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0206.wav,1.0,16000,1,0.4484512908115329,0.1647165250864762,2.722563891816301,2
bg_bg_session_05_0207,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0207.wav,1.0,16000,1,0.3879580961935875,0.1632218956006871,2.376875179626345,2
bg_bg_session_05_0208,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0208.wav,1.0,16000,1,0.4102574090741586,0.1628320799321383,2.519512027666885,2
bg_bg_session_05_0209,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0209.wav,1.0,16000,1,0.36363967323596,0.1644901852291492,2.210707287017187,2
bg_bg_session_05_0210,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0210.wav,1.0,16000,1,0.4591574540720464,0.1633631984097892,2.810653993280241,2
bg_bg_session_05_0211,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0211.wav,1.0,16000,1,0.4089989411552959,0.1655858666522957,2.4700110264484056,2
bg_bg_session_05_0212,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0212.wav,1.0,16000,1,0.4395155780316711,0.162758970899476,2.700407532676348,2
bg_bg_session_05_0213,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0213.wav,1.0,16000,1,0.4941354907490045,0.1639888057096516,3.0132267777571493,2
bg_bg_session_05_0214,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0214.wav,1.0,16000,1,0.5550117591067495,0.1653927820040076,3.3557191482280624,2
bg_bg_session_05_0215,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0215.wav,1.0,16000,1,0.4838154063629849,0.1637806280146951,2.9540451925677247,2
bg_bg_session_05_0216,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0216.wav,1.0,16000,1,0.3991256661713225,0.1638624037159327,2.4357365250534846,2
bg_bg_session_05_0217,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0217.wav,1.0,16000,1,0.429180842741016,0.1646995193412989,2.605841343065681,2
bg_bg_session_05_0218,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0218.wav,1.0,16000,1,0.3890052368670564,0.1653858029489693,2.352107656217684,2
bg_bg_session_05_0219,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0219.wav,1.0,16000,1,0.3914869315247063,0.1642734904027572,2.3831411065380537,2
bg_bg_session_05_0220,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0220.wav,1.0,16000,1,0.4387321133808606,0.164504239708972,2.6669956196088,2
bg_bg_session_05_0221,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0221.wav,1.0,16000,1,0.4010508958189966,0.1638989270340597,2.446940188121259,2
bg_bg_session_05_0222,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0222.wav,1.0,16000,1,0.3956806103532562,0.1619699057299112,2.4429265679995984,2
bg_bg_session_05_0223,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0223.wav,1.0,16000,1,0.4781519822681438,0.1637474473460747,2.9200574471064047,2
bg_bg_session_05_0224,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0224.wav,1.0,16000,1,0.4103163370427942,0.1638751049732499,2.50383554031234,2
bg_bg_session_05_0225,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0225.wav,1.0,16000,1,0.4808358205745044,0.1637785318544991,2.9358902279254573,2
bg_bg_session_05_0226,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0226.wav,1.0,16000,1,0.4309849475613553,0.1618250065794145,2.6632776357532606,2
bg_bg_session_05_0227,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0227.wav,1.0,16000,1,0.419730023178453,0.1625496056865726,2.5821655831397,2
bg_bg_session_05_0228,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0228.wav,1.0,16000,1,0.4284375839638272,0.164099117273981,2.610846206686432,2
bg_bg_session_05_0229,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0229.wav,1.0,16000,1,0.4058371101489462,0.1638142386093113,2.477422529445819,2
bg_bg_session_05_0230,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0230.wav,1.0,16000,1,0.5462870039828138,0.1623244821019094,3.3654009749794733,2
bg_bg_session_05_0231,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0231.wav,1.0,16000,1,0.430733542803919,0.1624128695298408,2.652089809938863,2
bg_bg_session_05_0232,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0232.wav,1.0,16000,1,0.3813722095549837,0.1645788217028121,2.3172616162669435,2
bg_bg_session_05_0233,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0233.wav,1.0,16000,1,0.3751073078135555,0.1629266002909403,2.3023084267433127,2
bg_bg_session_05_0234,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0234.wav,1.0,16000,1,0.4293842368721188,0.1637044850170406,2.6229227048861574,2
bg_bg_session_05_0235,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0235.wav,1.0,16000,1,0.4482726910777637,0.1618973819200108,2.768869132241756,2
bg_bg_session_05_0236,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0236.wav,1.0,16000,1,0.435994694256902,0.1624098196816236,2.684533904823336,2
bg_bg_session_05_0237,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0237.wav,1.0,16000,1,0.4123931655770627,0.1632804823822477,2.5256732115409704,2
bg_bg_session_05_0238,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0238.wav,1.0,16000,1,0.3741960920226627,0.1658644112582782,2.256035918878455,2
bg_bg_session_05_0239,bg_session_05,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_05_0239.wav,1.0,16000,1,0.450488224590627,0.162580615696142,2.770860443313676,2
bg_bg_session_06_0240,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0240.wav,1.0,16000,1,0.3174532159079238,0.0562356429503871,5.6450525467889765,2
bg_bg_session_06_0241,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0241.wav,1.0,16000,1,0.2736113351941887,0.0377905782210098,7.24019783957937,2
bg_bg_session_06_0242,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0242.wav,1.0,16000,1,0.2316226486553995,0.0461219957964116,5.021955239280167,2
bg_bg_session_06_0243,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0243.wav,1.0,16000,1,0.3040780209847746,0.0586109102240336,5.188077918286743,2
bg_bg_session_06_0244,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0244.wav,1.0,16000,1,0.328176674645893,0.0656977157549794,4.99525167537507,2
bg_bg_session_06_0245,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0245.wav,1.0,16000,1,0.3937519690416022,0.0607281681975222,6.4838429330268905,2
bg_bg_session_06_0246,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0246.wav,1.0,16000,1,0.2745671222112463,0.045515021649257,6.032449330741669,2
bg_bg_session_06_0247,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0247.wav,1.0,16000,1,0.3762793238009038,0.0791646677246902,4.753121399792524,2
bg_bg_session_06_0248,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0248.wav,1.0,16000,1,0.250327646902973,0.0518770766840174,4.8253990905024216,2
bg_bg_session_06_0249,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0249.wav,1.0,16000,1,0.3584976204111534,0.0624929398394662,5.736609030811838,2
bg_bg_session_06_0250,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0250.wav,1.0,16000,1,0.3537947228429751,0.0880085747234177,4.020002411751496,2
bg_bg_session_06_0251,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0251.wav,1.0,16000,1,0.2422059142521858,0.0490990569278655,4.933004421612029,2
bg_bg_session_06_0252,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0252.wav,1.0,16000,1,0.2663759426048349,0.0475332641763239,5.603988936607177,2
bg_bg_session_06_0253,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0253.wav,1.0,16000,1,0.2722424121483986,0.0627793009014828,4.336498891738686,2
bg_bg_session_06_0254,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0254.wav,1.0,16000,1,0.2359746218031168,0.0546059139792972,4.32141065670058,2
bg_bg_session_06_0255,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0255.wav,1.0,16000,1,0.2975491727794923,0.0567439878829721,5.243711826458771,2
bg_bg_session_06_0256,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0256.wav,1.0,16000,1,0.3779018128912317,0.0702422590626173,5.379977297634734,2
bg_bg_session_06_0257,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0257.wav,1.0,16000,1,0.3744728662764242,0.072456374262194,5.168252184946726,2
bg_bg_session_06_0258,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0258.wav,1.0,16000,1,0.321121598651763,0.0623646865129925,5.149092621413833,2
bg_bg_session_06_0259,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0259.wav,1.0,16000,1,0.363620897259612,0.0730834554779957,4.975419472535718,2
bg_bg_session_06_0260,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0260.wav,1.0,16000,1,0.2935095453219605,0.0476395665838858,6.161044374631169,2
bg_bg_session_06_0261,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0261.wav,1.0,16000,1,0.3543103710487594,0.0815893172123927,4.3426068476630695,2
bg_bg_session_06_0262,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0262.wav,1.0,16000,1,0.361742138649335,0.0691269001227875,5.233014726201214,2
bg_bg_session_06_0263,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0263.wav,1.0,16000,1,0.4091294790458339,0.0827471453072129,4.944332859865345,2
bg_bg_session_06_0264,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0264.wav,1.0,16000,1,0.4088411809234915,0.0662555428013924,6.17067043646943,2
bg_bg_session_06_0265,bg_session_06,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_06_0265.wav,1.0,16000,1,0.2853279750365586,0.0606054919228181,4.707954987319921,2
