filename, num_gunshots, gunshot_location (in seconds), ,,,,,,,,,,,,,,,,,,,,,
03fc4685-909e-42c5-aff0-f519f1d14b12_chan3_v0,5,1.75,2.067959184,2.390929705,2.704829932,3.016417234,,,,,,,,,,,,,,,,,,
03fc4685-909e-42c5-aff0-f519f1d14b12_chan4_v0,5,1.75,2.067800454,2.391020408,2.704897959,3.016303855,,,,,,,,,,,,,,,,,,
03fc4685-909e-42c5-aff0-f519f1d14b12_chan5_v0,5,1.75,2.067959184,2.391133787,2.705124717,3.016394558,,,,,,,,,,,,,,,,,,
03fc4685-909e-42c5-aff0-f519f1d14b12_chan6_v0,5,1.75,2.067845805,2.391043084,2.705034014,3.016303855,,,,,,,,,,,,,,,,,,
03fc4685-909e-42c5-aff0-f519f1d14b12_mean_v0,5,1.75,2.067868481,2.391043084,2.705011338,3.016417234,,,,,,,,,,,,,,,,,,
04187ca0-da31-406a-960b-cb24a97e27a2_v0,6,1.75,1.985102041,2.226462585,2.471632653,2.696961451,2.943378685,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan0_v0,2,1.75,3.00861678,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan0_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan1_v0,2,1.75,3.008639456,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan1_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan2_v0,2,1.75,3.008639456,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan2_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan3_v0,2,1.75,3.00861678,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan3_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan4_v0,2,1.75,3.00861678,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan4_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan5_v0,2,1.75,3.008639456,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan5_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan6_v0,2,1.75,3.008662132,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_chan6_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_mean_v0,2,1.75,3.008707483,,,,,,,,,,,,,,,,,,,,,
0495b86d-2f39-4912-916b-0cfbc160cf3d_mean_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan0_v0,1,1.652426304,,,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan1_v0,1,1.651655329,,,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan2_v0,1,1.65122449,,,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan3_v0,3,0.708888889,1.650702948,2.548526077,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan4_v0,1,1.652426304,,,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan5_v0,1,1.651904762,,,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_chan6_v0,3,0.710748299,1.651632653,2.545782313,,,,,,,,,,,,,,,,,,,,
04d81d9d-63e9-46b1-9417-6fe40765be9a_mean_v0,1,1.651723356,,,,,,,,,,,,,,,,,,,,,,
04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v0,1,1.634353741,,,,,,,,,,,,,,,,,,,,,,
04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v2,1,1.634263039,,,,,,,,,,,,,,,,,,,,,,
04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v3,1,1.75,,,,,,,,,,,,,,,,,,,,,,
04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v4,1,1.75,,,,,,,,,,,,,,,,,,,,,,
04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v5,1,1.75,,,,,,,,,,,,,,,,,,,,,,
06098292-fb00-48df-bed0-8bac822e3337_v0,6,1.749024943,2.072108844,2.38585034,2.688503401,3.003582766,3.305147392,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan0_v1,1,1.749478458,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan2_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan4_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan5_v0,1,1.747732426,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
063b74d6-eb05-437e-b767-14a3248cd10c_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
06e7af3f-05cf-4170-9d51-9cc5ad5ab502_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan0_v0,1,1.297210884,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan1_v0,1,1.29707483,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan2_v0,1,1.297142857,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan3_v0,1,1.296984127,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan4_v0,1,1.29723356,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan5_v0,1,1.294058957,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_chan6_v0,1,1.294081633,,,,,,,,,,,,,,,,,,,,,,
06f8ef4c-86b4-408a-8909-3badadf8ca20_mean_v0,1,1.296984127,,,,,,,,,,,,,,,,,,,,,,
0882e966-f18c-4fa3-a866-fe1ec26a72d5_v0,3,1.75,2.82430839,3.902902494,,,,,,,,,,,,,,,,,,,,
08e77e85-92f3-44c7-be5b-c835c9431f97_v0,6,1.742108844,2.093605442,2.439433107,2.79185941,3.133265306,3.472380952,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan0_v1,2,1.75,3.921564626,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan0_v2,3,1.75,2.703129252,4.361020408,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan1_v1,2,1.75,3.921587302,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan1_v2,3,1.75,2.703174603,4.357913832,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan2_v1,2,1.75,3.921496599,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan2_v2,3,1.74600907,2.700294785,4.391201814,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan3_v1,2,1.75,3.92154195,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan4_v1,2,1.75,3.92154195,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan4_v2,3,1.75,2.704195011,4.395442177,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan5_v1,2,1.75,3.921564626,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan5_v2,3,1.75,2.704217687,4.360226757,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan6_v1,2,1.75,3.92154195,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_chan6_v2,3,1.75,2.704217687,4.35829932,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_mean_v1,2,1.75,3.92154195,,,,,,,,,,,,,,,,,,,,,
090f69a9-885c-45fb-a807-f2661aaeb165_mean_v2,3,1.75,2.704172336,4.39521542,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan0_v0,2,0.305714286,1.834965986,,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan1_v0,3,0.305623583,1.834897959,3.720816327,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan2_v0,3,0.305714286,1.835011338,3.720816327,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan3_v0,3,0.305782313,1.835056689,3.720907029,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan4_v0,3,0.305804989,1.835147392,3.720975057,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan5_v0,3,0.305759637,1.835056689,3.720929705,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_chan6_v0,3,0.30569161,1.835034014,3.720816327,,,,,,,,,,,,,,,,,,,,
097daac2-8bc8-4c8f-a4ec-e1e6ba5735b7_mean_v0,2,0.305714286,1.835056689,,,,,,,,,,,,,,,,,,,,,
09852d76-8a70-4330-9fe6-eb77961c2f4d_v0,1,1.713333333,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan0_v0,3,1.748480726,3.23845805,3.952743764,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan0_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan1_v0,3,1.75,3.241564626,3.90845805,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan1_v1,1,1.746666667,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan2_v0,3,1.746598639,3.23968254,3.908730159,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan2_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan3_v0,3,1.75,3.241791383,3.912403628,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan3_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan4_v0,3,1.75,3.241768707,3.908594104,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan4_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan5_v0,3,1.746780045,3.238571429,3.919455782,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan5_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan6_v0,3,1.746848073,3.23877551,3.909455782,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_chan6_v1,1,1.7461678,,,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_mean_v0,3,1.75,3.241723356,3.914489796,,,,,,,,,,,,,,,,,,,,
0a07b229-7d2b-4d2b-8f32-c94cbc7b1487_mean_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a1b4df0-84fa-40d7-bc48-9ca0a690b5b9_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a621a73-4106-4206-b1c3-204dd9a597c0_v0,2,1.75,2.628956916,,,,,,,,,,,,,,,,,,,,,
0a621a73-4106-4206-b1c3-204dd9a597c0_v1,3,1.75,2.030204082,2.655056689,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_chan1_v0,1,1.745646259,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_chan1_v1,1,1.590975057,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_chan1_v2,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_chan1_v3,1,1.611315193,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_chan1_v4,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_chan1_v5,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_mean_v0,1,1.747437642,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_mean_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_mean_v2,1,1.589274376,,,,,,,,,,,,,,,,,,,,,,
0a7c0396-3ac7-462d-b1f6-c73243eb6865_mean_v3,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0adeaece-8ec1-440b-ae3a-1dc93613f76f_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0b237664-b966-4d64-aaff-6c13d2150cad_v0,5,1.75,3.031043084,4.085260771,5.512743764,6.588548753,,,,,,,,,,,,,,,,,,
0b296a57-7c53-45cd-924a-59d76c477291_v0,1,0.724603175,,,,,,,,,,,,,,,,,,,,,,
0b296a57-7c53-45cd-924a-59d76c477291_v1,1,0.724648526,,,,,,,,,,,,,,,,,,,,,,
0b296a57-7c53-45cd-924a-59d76c477291_v2,1,0.727619048,,,,,,,,,,,,,,,,,,,,,,
0b296a57-7c53-45cd-924a-59d76c477291_v4,1,0.75,,,,,,,,,,,,,,,,,,,,,,
0b296a57-7c53-45cd-924a-59d76c477291_v5,1,0.724648526,,,,,,,,,,,,,,,,,,,,,,
0b296a57-7c53-45cd-924a-59d76c477291_v6,1,0.635442177,,,,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan0_v0,4,1.75,2.315079365,3.059365079,3.749591837,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan1_v0,4,1.75,2.319070295,3.061451247,3.749387755,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan2_v0,4,1.74984127,2.316893424,3.059251701,3.749410431,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan3_v0,4,1.75,2.317188209,3.059387755,3.749795918,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan4_v0,4,1.75,2.316984127,3.059251701,3.749410431,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan5_v0,4,1.75,2.315011338,3.059365079,3.749546485,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_chan6_v0,4,1.75,2.317006803,3.059365079,3.749546485,,,,,,,,,,,,,,,,,,,
0b4a7cf7-8f49-4efd-bab9-0a3102bc2fb4_mean_v0,4,1.75,2.315102041,3.057210884,3.749478458,,,,,,,,,,,,,,,,,,,
0bf6802f-32e1-40d2-99d5-b9f893526cdc_chan0_v0,2,1.602176871,2.810566893,,,,,,,,,,,,,,,,,,,,,
0bf6802f-32e1-40d2-99d5-b9f893526cdc_chan1_v0,3,1.611519274,2.408866213,2.821496599,,,,,,,,,,,,,,,,,,,,
0bf6802f-32e1-40d2-99d5-b9f893526cdc_mean_v0,3,1.578548753,2.374920635,2.786666667,,,,,,,,,,,,,,,,,,,,
0c4a24ea-01ed-4450-bf9c-fe9562a39730_v0,3,1.531836735,1.75,2.000340136,,,,,,,,,,,,,,,,,,,,
0cb09ab3-6e8e-48b1-9d6f-02804ba1fcf5_v0,6,1.510566893,1.75,1.991655329,2.236802721,2.462267574,2.675034014,,,,,,,,,,,,,,,,,
0d477557-be49-40b0-9eb5-a5254d9cf41f_v0,1,1.703219955,,,,,,,,,,,,,,,,,,,,,,
0e145efc-0a77-4ef9-bb04-a8b03a96894c_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan0_v0,5,1.75,2.411496599,3.996507937,4.422312925,5.046984127,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan1_v0,5,1.75,2.412403628,3.997437642,4.423219955,5.047868481,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan2_v0,5,1.75,2.411678005,3.997800454,4.422290249,5.047460317,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan3_v0,5,1.75,2.412063492,3.998390023,4.422879819,5.047188209,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan4_v0,5,1.75,2.411655329,3.998276644,4.422517007,5.047959184,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan5_v0,5,1.75,2.410612245,3.997573696,4.422267574,5.047460317,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_chan6_v0,5,1.75,2.411587302,3.997460317,4.423219955,5.048163265,,,,,,,,,,,,,,,,,,
0ecc8bff-1110-42d7-9c39-06dbdd1a0075_mean_v0,5,1.75,2.41154195,3.997709751,4.422358277,5.047460317,,,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan0_v0,6,0.193356009,1.719387755,3.906303855,5.612380952,7.736485261,9.186802721,,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan1_v0,6,0.189954649,1.719365079,3.903197279,5.612335601,7.736507937,9.160589569,,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan2_v0,7,0.189863946,1.719183673,3.903129252,5.612290249,6.251156463,7.717505669,9.160680272,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan3_v0,7,0.192789116,1.722267574,3.906054422,5.615260771,6.251201814,7.720884354,9.163718821,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan4_v0,6,0.190204082,1.722517007,3.906303855,5.615510204,7.739342404,9.163945578,,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan5_v0,6,0.19,1.719365079,3.902312925,5.612403628,7.736575964,9.160861678,,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_chan6_v0,6,0.190272109,1.719365079,3.903197279,5.612426304,7.736575964,9.160861678,,,,,,,,,,,,,,,,,
0ee22b7f-3840-4f8a-8b28-031e6bba5d81_mean_v0,7,0.189977324,1.719070295,3.902902494,5.612154195,6.248571429,7.717505669,9.160657596,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v0,2,0.294172336,1.958639456,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v1,1,1.598730159,,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v2,1,1.473015873,,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v3,2,0.297573696,1.634693878,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v4,2,0.144240363,1.75,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v5,2,0.346394558,1.63462585,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v6,2,0.502086168,1.735102041,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v7,1,0.043514739,,,,,,,,,,,,,,,,,,,,,,
0f9222e9-7896-4a30-b161-092a2931ebb8_v8,1,1.598503401,,,,,,,,,,,,,,,,,,,,,,
10b9773c-446d-4272-b88b-2f6af91dc413_v0,3,1.661587302,2.529977324,2.978185941,,,,,,,,,,,,,,,,,,,,
115e4882-5899-4b5f-8023-1924ac6f2b6a_v0,23,0.040657596,0.25739229,0.431269841,0.613945578,0.795668934,0.997210884,1.17324263,1.369319728,1.561451247,1.75,2.135442177,2.334263039,2.54031746,2.750952381,2.958639456,3.164875283,3.38015873,3.590861678,3.80723356,4.015646259,4.442585034,4.66138322,4.871315193
115e4882-5899-4b5f-8023-1924ac6f2b6a_v1,13,0.04106576,0.257437642,0.46585034,0.679795918,0.892789116,1.111587302,1.321519274,1.542403628,1.75,1.975328798,2.197278912,2.421791383,2.651201814,,,,,,,,,,
11c0a574-3eb7-4b15-aeea-5dc805905a03_v0,1,1.7130839,,,,,,,,,,,,,,,,,,,,,,
11c0a574-3eb7-4b15-aeea-5dc805905a03_v1,6,1.75,3.285600907,4.829138322,6.803877551,8.603628118,10.69283447,,,,,,,,,,,,,,,,,
11fe0e34-0703-42dc-a3f8-36e39a820e98_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
11fe0e34-0703-42dc-a3f8-36e39a820e98_v1,2,1.75,3.655011338,,,,,,,,,,,,,,,,,,,,,
11fe0e34-0703-42dc-a3f8-36e39a820e98_v2,2,1.75,3.592222222,,,,,,,,,,,,,,,,,,,,,
1220241f-81de-4e3d-94cb-bdba4ebabd86_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1266f563-7458-4d7b-81bd-8cb56eff1abb_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1266f563-7458-4d7b-81bd-8cb56eff1abb_v1,1,1.732517007,,,,,,,,,,,,,,,,,,,,,,
1266f563-7458-4d7b-81bd-8cb56eff1abb_v2,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1266f563-7458-4d7b-81bd-8cb56eff1abb_v3,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1266f563-7458-4d7b-81bd-8cb56eff1abb_v4,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1266f563-7458-4d7b-81bd-8cb56eff1abb_v5,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1298fc2a-4470-4cbd-a8c7-8c6e103d7c4f_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
1298fc2a-4470-4cbd-a8c7-8c6e103d7c4f_chan0_v1,1,1.75,,,,,,,,,,,,,,,,,,,,,,
