filename,uuid,label,recording_session ,timestamp,time_offset_s,device_name,device_manufacturer,device_model,microphone,firearm,caliber,latitude,longitude,gunshot_location_in_seconds,num_gunshots
3ca1d261-51c7-498d-880c-5b0848cd7b9a_v0,3ca1d261-51c7-498d-880c-5b0848cd7b9a,38cal,1,2021-11-15T13:00:27.017-04:00,17.60499954,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34229547,-80.78193907,[1.65961451 2.0137415  2.35975057 2.7114966  3.05315193 3.39206349],6
c3bd5baf-fac3-48f7-b4b8-feb901710807_v1,c3bd5baf-fac3-48f7-b4b8-feb901710807,38cal,1,2021-11-15T13:01:38.773-04:00,17.60899925,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34229547,-80.78193907,[1.61773243 1.94160998 2.25621315 2.55848073 2.87405896 3.17351474],6
52d18cda-ccf9-43de-83a7-76bcc72fab6b_v0,52d18cda-ccf9-43de-83a7-76bcc72fab6b,AR15,1,2021-11-15T13:05:22.735-04:00,17.64800072,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,[1.67963719 1.98950113 2.22893424 2.4760771  2.70142857 2.92120181],6
c1b3aea8-b209-4bdc-a42d-b953207fe5ac_v1,c1b3aea8-b209-4bdc-a42d-b953207fe5ac,AR15,1,2021-11-15T13:06:17.462-04:00,17.65600014,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,"[1.60142857 1.75       2.07111111 2.40210884 2.60807256 2.80721088
 3.00902494 3.22204082 3.43247166 3.64331066 3.86761905]",11
67c4b424-f7af-4b3d-8d82-edd7eba0f0ae_v0,67c4b424-f7af-4b3d-8d82-edd7eba0f0ae,AR15,1,2021-11-15T13:07:30.038-04:00,,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,[1.68201814],1
67c4b424-f7af-4b3d-8d82-edd7eba0f0ae_v1,67c4b424-f7af-4b3d-8d82-edd7eba0f0ae,AR15,1,2021-11-15T13:07:30.038-04:00,,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,[1.68578231 3.57385488 5.46578231],3
67c4b424-f7af-4b3d-8d82-edd7eba0f0ae_v2,67c4b424-f7af-4b3d-8d82-edd7eba0f0ae,AR15,1,2021-11-15T13:07:30.038-04:00,,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,[1.73172336 3.90614512],2
67c4b424-f7af-4b3d-8d82-edd7eba0f0ae_v3,67c4b424-f7af-4b3d-8d82-edd7eba0f0ae,AR15,1,2021-11-15T13:07:30.038-04:00,,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,[1.68197279],1
331bfbc7-f68b-40f8-b000-241be4f89704_v1,331bfbc7-f68b-40f8-b000-241be4f89704,AR15,1,2021-11-15T13:10:58.238-04:00,17.6439991,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34229547,-80.78193907,"[1.75       2.19632653 2.65365079 3.27027211 3.78424036 4.19070295
 4.5414059  5.17385488 5.45723356 5.88006803 6.31117914 6.74095238
 7.10888889 7.55580499]",14
ed4c5c29-cca2-4739-b9a3-1389bc0868aa_v1,ed4c5c29-cca2-4739-b9a3-1389bc0868aa,12gauge,1,2021-11-15T13:13:30.292-04:00,17.62800026,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[1.59807256],1
15b04a92-4a19-4d7c-b961-e072a020eb33_v1,15b04a92-4a19-4d7c-b961-e072a020eb33,12gauge,1,2021-11-15T13:13:49.455-04:00,17.61899948,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[1.59827664],1
81c88e82-5dc3-446c-b9d8-d7687eb45b56_v3,81c88e82-5dc3-446c-b9d8-d7687eb45b56,12gauge,1,2021-11-15T13:15:02.036-04:00,17.64800072,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[1.62145125],1
81c88e82-5dc3-446c-b9d8-d7687eb45b56_v4,81c88e82-5dc3-446c-b9d8-d7687eb45b56,12gauge,1,2021-11-15T13:15:02.036-04:00,17.64800072,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[0.54630385 1.62192744],2
81c88e82-5dc3-446c-b9d8-d7687eb45b56_v5,81c88e82-5dc3-446c-b9d8-d7687eb45b56,12gauge,1,2021-11-15T13:15:02.036-04:00,17.64800072,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[0.60761905 1.6852381 ],2
adf63c42-6a31-4a4a-95c2-8cce6ce1894e_v0,adf63c42-6a31-4a4a-95c2-8cce6ce1894e,12gauge,1,2021-11-15T13:16:43.540-04:00,17.62400055,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[1.59947846 2.77172336],2
adf63c42-6a31-4a4a-95c2-8cce6ce1894e_v1,adf63c42-6a31-4a4a-95c2-8cce6ce1894e,12gauge,1,2021-11-15T13:16:43.540-04:00,17.62400055,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[1.68564626],1
adf63c42-6a31-4a4a-95c2-8cce6ce1894e_v2,adf63c42-6a31-4a4a-95c2-8cce6ce1894e,12gauge,1,2021-11-15T13:16:43.540-04:00,17.62400055,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[0.87133787 1.59943311],2
adf63c42-6a31-4a4a-95c2-8cce6ce1894e_v3,adf63c42-6a31-4a4a-95c2-8cce6ce1894e,12gauge,1,2021-11-15T13:16:43.540-04:00,17.62400055,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34229547,-80.78193907,[0.2770068  1.00510204 1.68562358],3
4c374fa3-f600-409f-a01e-684c006bc381_v0,4c374fa3-f600-409f-a01e-684c006bc381,9mm,1,2021-11-15T13:30:05.976-04:00,17.2310009,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.77839002],1
90ec7115-97f8-47dc-b4c4-d4528411333f_v0,90ec7115-97f8-47dc-b4c4-d4528411333f,9mm,1,2021-11-15T13:30:32.740-04:00,17.34799957,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.62367347],1
fe7bf3b2-7a7a-4a47-9c7d-c6d4354a7cfd_v0,fe7bf3b2-7a7a-4a47-9c7d-c6d4354a7cfd,9mm,1,2021-11-15T13:30:45.445-04:00,17.37000084,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.62326531],1
23e5252c-2680-4dcf-acee-4b58271de2a9_v0,23e5252c-2680-4dcf-acee-4b58271de2a9,9mm,1,2021-11-15T13:31:19.917-04:00,17.36800003,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.62344671],1
23e5252c-2680-4dcf-acee-4b58271de2a9_v1,23e5252c-2680-4dcf-acee-4b58271de2a9,9mm,1,2021-11-15T13:31:19.917-04:00,17.36800003,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.62072562],1
311641e1-8a87-4a2b-a12d-5d451505741c_v0,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.089161  1.7539229],2
311641e1-8a87-4a2b-a12d-5d451505741c_v1,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.62052154],1
311641e1-8a87-4a2b-a12d-5d451505741c_v2,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.00281179 1.68104308],2
311641e1-8a87-4a2b-a12d-5d451505741c_v3,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.34721088 1.68115646],2
311641e1-8a87-4a2b-a12d-5d451505741c_v4,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.07517007 1.68249433],2
311641e1-8a87-4a2b-a12d-5d451505741c_v5,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.39430839 1.68095238],2
311641e1-8a87-4a2b-a12d-5d451505741c_v6,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.45319728 1.68623583],2
311641e1-8a87-4a2b-a12d-5d451505741c_v7,311641e1-8a87-4a2b-a12d-5d451505741c,9mm,1,2021-11-15T13:31:48.966-04:00,17.41200066,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[0.01591837 2.22621315],2
6fbbd03e-f48e-4c39-a698-6bfab08c7e86_v0,6fbbd03e-f48e-4c39-a698-6bfab08c7e86,9mm,1,2021-11-15T12:45:10.666-04:00,0.130999997,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
3de9cd1a-f889-4834-8b92-968e4ef4e770_v0,3de9cd1a-f889-4834-8b92-968e4ef4e770,9mm,1,2021-11-15T12:46:29.418-04:00,0.164000005,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
afde2734-d3d4-4c25-869e-945f6fd192bb_v0,afde2734-d3d4-4c25-869e-945f6fd192bb,9mm,1,2021-11-15T12:47:58.629-04:00,0.164000005,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
9d313a2c-cb6f-43c2-8b52-e9ddf4f951bb_v0,9d313a2c-cb6f-43c2-8b52-e9ddf4f951bb,9mm,1,2021-11-15T12:50:20.981-04:00,0.141000003,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75       3.63755102 5.55709751],3
95532319-45d9-4eee-b05d-cef146e6cfa8_v0,95532319-45d9-4eee-b05d-cef146e6cfa8,9mm,1,2021-11-15T12:51:48.023-04:00,34.43199921,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75       1.98768707 2.26024943],3
14c90b51-6fac-410d-90b6-c85c66047de6_v0,14c90b51-6fac-410d-90b6-c85c66047de6,9mm,1,2021-11-15T12:53:05.129-04:00,,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.63133787 2.49979592 2.94795918],3
25066e4e-4e6f-4b9b-abd2-c7b7369a639b_v0,25066e4e-4e6f-4b9b-abd2-c7b7369a639b,9mm,1,2021-11-15T12:54:47.652-04:00,0.147,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.50206349 1.75       1.95494331 2.15666667 2.35845805],5
48ea58b4-b57d-41a2-9e26-c03ea389dff2_v0,48ea58b4-b57d-41a2-9e26-c03ea389dff2,38cal,1,2021-11-15T12:58:09.835-04:00,0.158999994,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34203166,-80.78160669,[1.75],1
d93d99f3-6228-41e9-8913-8139726aba27_v0,d93d99f3-6228-41e9-8913-8139726aba27,38cal,1,2021-11-15T12:58:40.991-04:00,0.153999999,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34203166,-80.78160669,[1.75],1
37fdab6a-0479-43ab-8f79-721bdc2e9d4b_v0,37fdab6a-0479-43ab-8f79-721bdc2e9d4b,38cal,1,2021-11-15T12:59:06.195-04:00,0.144999996,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34203166,-80.78160669,[1.75],1
dfe7960a-4474-4daf-b043-0910a483dc4a_v0,dfe7960a-4474-4daf-b043-0910a483dc4a,38cal,1,2021-11-15T12:59:46.297-04:00,0.150000006,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34203166,-80.78160669,[1.75       3.43938776 5.24077098],3
5c736839-9b86-4e13-94e2-f41b1f9b670c_v0,5c736839-9b86-4e13-94e2-f41b1f9b670c,38cal,1,2021-11-15T13:00:44.367-04:00,0.156000003,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34203166,-80.78160669,[1.73503401 2.08678005 2.43276644 2.78453515 3.1261678  3.46507937],6
3efc8c09-6612-4704-8eed-fd3442ef0cd6_v0,3efc8c09-6612-4704-8eed-fd3442ef0cd6,38cal,1,2021-11-15T13:01:56.279-04:00,0.165999994,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34203166,-80.78160669,[1.42655329 1.75       2.06346939 2.36578231 2.68142857 2.9824263 ],6
1f881663-d824-403c-bb7a-f97eb215a694_v0,1f881663-d824-403c-bb7a-f97eb215a694,AR15,1,2021-11-15T13:05:05.457-04:00,0.150000006,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,[1.75       2.91888889],2
1f881663-d824-403c-bb7a-f97eb215a694_v1,1f881663-d824-403c-bb7a-f97eb215a694,AR15,1,2021-11-15T13:05:05.457-04:00,0.150000006,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,[0.44263039 1.59594104 2.6829932  3.7507483 ],4
24766d0d-0b75-4cb1-8356-c9e60d0c8a82_v0,24766d0d-0b75-4cb1-8356-c9e60d0c8a82,AR15,1,2021-11-15T13:05:40.212-04:00,,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,[1.75       1.96537415 2.20671202 2.45188209 2.67721088 2.89031746],6
b94ec33c-dd8b-47eb-966f-f9a6d7f055b6_v0,b94ec33c-dd8b-47eb-966f-f9a6d7f055b6,AR15,1,2021-11-15T13:06:34.942-04:00,0.148000002,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,"[1.5161678  1.75       1.94315193 2.1447619  2.33709751 2.54303855
 2.66219955 2.94401361 3.15702948 3.36746032 3.57820862 3.78217687
 3.90129252]",13
1d815f56-4309-4074-8bdb-cedaf6c0acc9_v1,1d815f56-4309-4074-8bdb-cedaf6c0acc9,AR15,1,2021-11-15T13:07:47.479-04:00,0.140000001,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,[1.59376417 3.48176871 5.37664399],3
1d815f56-4309-4074-8bdb-cedaf6c0acc9_v2,1d815f56-4309-4074-8bdb-cedaf6c0acc9,AR15,1,2021-11-15T13:07:47.479-04:00,0.140000001,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,[1.72589569],1
1d815f56-4309-4074-8bdb-cedaf6c0acc9_v3,1d815f56-4309-4074-8bdb-cedaf6c0acc9,AR15,1,2021-11-15T13:07:47.479-04:00,0.140000001,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,[1.59371882 3.8692517 ],2
ad0d42e0-6945-4557-8650-b2713fbc4df9_v0,ad0d42e0-6945-4557-8650-b2713fbc4df9,AR15,1,2021-11-15T13:11:15.161-04:00,0.172999993,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Ruger 556,.223 mm,28.34203166,-80.78160669,"[1.59333333 2.16535147 2.53655329 2.92235828 3.30346939 3.68659864
 4.30439909 4.71836735 5.14297052 5.56913832 5.99580499 6.21344671
 6.64331066 7.07809524 7.30034014 7.52492063 7.7531746 ]",17
a2f11812-20c1-4d8d-ac1b-20afb9dfd4c7_v0,a2f11812-20c1-4d8d-ac1b-20afb9dfd4c7,12gauge,1,2021-11-15T13:13:47.720-04:00,0.165000007,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[1.75],1
cfa1376d-7ec3-4aba-8bc9-5d598e13ba06_v0,cfa1376d-7ec3-4aba-8bc9-5d598e13ba06,12gauge,1,2021-11-15T13:14:06.977-04:00,,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[1.59798186],1
b062cdec-dadb-4d22-b488-217077906b77_v1,b062cdec-dadb-4d22-b488-217077906b77,12gauge,1,2021-11-15T13:15:19.496-04:00,0.160999998,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[1.75],1
b062cdec-dadb-4d22-b488-217077906b77_v2,b062cdec-dadb-4d22-b488-217077906b77,12gauge,1,2021-11-15T13:15:19.496-04:00,0.160999998,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[0.52258503 1.59789116],2
b062cdec-dadb-4d22-b488-217077906b77_v3,b062cdec-dadb-4d22-b488-217077906b77,12gauge,1,2021-11-15T13:15:19.496-04:00,0.160999998,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[0.54283447 1.61961451],2
cf5903aa-f70e-4b5a-8f0b-ab010db39792_v0,cf5903aa-f70e-4b5a-8f0b-ab010db39792,12gauge,1,2021-11-15T13:17:00.999-04:00,0.150999993,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[1.75       2.92131519],2
cf5903aa-f70e-4b5a-8f0b-ab010db39792_v1,cf5903aa-f70e-4b5a-8f0b-ab010db39792,12gauge,1,2021-11-15T13:17:00.999-04:00,0.150999993,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[1.75],1
cf5903aa-f70e-4b5a-8f0b-ab010db39792_v2,cf5903aa-f70e-4b5a-8f0b-ab010db39792,12gauge,1,2021-11-15T13:17:00.999-04:00,0.150999993,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Remington 870,12 guage,28.34203166,-80.78160669,[1.02192744 1.75       2.43190476],3
255ab69e-5714-438f-880f-4e129278f44a_v0,255ab69e-5714-438f-880f-4e129278f44a,9mm,1,2021-11-15T13:30:23.497-04:00,0.204999998,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
85a24c95-5a49-469d-a5a1-d8ca7554b663_v0,85a24c95-5a49-469d-a5a1-d8ca7554b663,9mm,1,2021-11-15T13:30:50.382-04:00,,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
e4f6ae86-2eda-4385-8d37-556bc806b983_v0,e4f6ae86-2eda-4385-8d37-556bc806b983,9mm,1,2021-11-15T13:31:02.850-04:00,0.147,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
1b95d8c1-35d7-4b0f-88f1-97696602a0d4_v0,1b95d8c1-35d7-4b0f-88f1-97696602a0d4,9mm,1,2021-11-15T13:31:37.351-04:00,0.141000003,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.63451247],1
1b95d8c1-35d7-4b0f-88f1-97696602a0d4_v1,1b95d8c1-35d7-4b0f-88f1-97696602a0d4,9mm,1,2021-11-15T13:31:37.351-04:00,0.141000003,Galaxy S21 5G Raspberry Cake,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34203166,-80.78160669,[1.75],1
